"state","year","high_sch_grads","unemployment_percent","total_labor_force","total_checked_firearm","white","black","american_indian_alaskan_native","asian","native_hawaiian_pacific_islander","two_or_more_race","hispanic_latino","population","shootings_count_per_mil"
"Alabama",2015,0.945661440845282,6.1,44.6314917412715,15.1913270219204,52.7227160401771,19.7743554166873,0.446094311138887,1.03847674148673,0.035037467019774,0.763923891453474,2.4963525811449,4854803,3.50168688616201
"Alabama",2016,0.934695809834093,6.1,43.9502435263737,12.6765833323745,52.6352504220412,19.8660563850265,0.451423762190702,1.07511592775905,0.035279681369205,0.784207524249901,2.54118496991056,4866824,4.93134742493256
"Alabama",2017,0.924561330499105,5.5,45.0836810005107,9.78569242366065,52.5724227750411,19.9494914810181,0.45688909917591,1.10594755338727,0.0363469454318163,0.806746386676969,2.59205176559439,4877989,5.12506280764471
"Alabama",2018,0.907673273601345,4,45.2855981689532,9.69603575742064,52.5172601023626,20.0266864119675,0.462300076784253,1.1266392293118,0.0374721871736771,0.829069585831138,2.6644708060384,4891628,2.65760192721115
"Alabama",2019,0.871033106389308,3.7,46.139815585482,14.0604914664224,52.5135570445184,20.0729019053722,0.468035122499855,1.14894869869691,0.0376734552915516,0.853143818262763,2.72288005313811,4907965,2.24125477667424
"Alabama",2020,0.830788959331489,3.2,45.111343608351,21.5741781251279,52.3998869491005,20.1468508924621,0.467169724619298,1.16705973452119,0.0380413891904419,0.880119538208541,2.81512242609456,5031362,3.18005343284781
"Alabama",2021,0.832896686354396,4.2,44.7870687541759,18.7386110388317,52.3626067012737,20.1241384390732,0.471756960509291,1.19579884218251,0.038733854458136,0.913513006139197,2.91086104407936,5049846,4.75262017891239
"Alabama",2022,0.825533236531728,2.6,44.9031550386497,14.5658235152226,52.2893027919538,20.0996157890671,0.476006918003995,1.22450483771542,0.0402223283781632,0.944978377296082,3.01963070345128,5074296,3.94143345204931
"Alaska",2015,1.04139864306705,6.2,49.1889549449508,11.5950056200317,49.1113578809095,2.49461695759923,9.88692225397126,4.58540416830302,0.794388093658167,3.44162615278361,4.44740869141286,738430,5.41689801335265
"Alaska",2016,1.06790559876107,6.4,48.7294886038447,11.8031175302158,48.7597885735448,2.52513214153453,9.8987981012019,4.73191260142073,0.828872504460829,3.51008315658351,4.54351412315254,742575,9.42665724000943
"Alaska",2017,1.07154954971976,6.6,48.836208118135,10.9096969836015,48.4194644141634,2.54688704059337,9.9500258440477,4.89282480164862,0.879507357118854,3.57187681768678,4.67419630409874,740983,10.7964690148087
"Alaska",2018,1.06974521601251,6.4,48.4939399205022,10.6921577358327,48.255555072873,2.56060079497817,10.0818056430418,4.9345391950303,0.904396272725298,3.65505332435544,4.73932426855492,736624,9.50281283259845
"Alaska",2019,1.04279835278754,6,48.1399339969984,10.4856441426766,48.1580636938508,2.56010403447096,10.1646258262303,5.01142988782761,0.94328949036468,3.73567174616243,4.83013291930377,733603,9.54194571178144
"Alaska",2020,1.03557945377618,5.4,48.1523980008814,13.5010089736575,47.8211217276576,2.55183695968062,10.3615250169527,5.0692910442161,0.968178103293252,3.85238285604354,4.9429476220558,732923,12.2795982661207
"Alaska",2021,1.05287244852094,7.1,47.5086558918633,12.422941450485,47.7461991713226,2.55100234001923,10.4333802790044,5.10227709205619,0.990353890452231,3.91769343296349,5.04997398465231,734182,9.53442062050009
"Alaska",2022,1.08372195102667,5.1,48.7605356176465,11.5599734454043,47.6352369125239,2.54217995782345,10.4841578935172,5.17228452676793,1.00874747642734,3.95497169372791,5.13929575794423,733583,6.81586132721178
"Arizona",2015,0.984807129131353,6.4,46.2824665108499,4.85074222757548,46.1538810533294,3.04817490900523,2.82530906025486,2.54331673206192,0.138654521346269,1.05185128812304,20.3867662059972,6832810,6.14681221927728
"Arizona",2016,0.981890393155019,5.7,46.3736508366659,5.99413918422317,45.9351192055831,3.13333766273224,2.82450080758649,2.63707911294936,0.139831905087672,1.08740869204107,20.6801034505549,6944767,7.05567227813403
"Arizona",2017,0.947207242588345,5.2,45.5134357005758,5.46148118468441,45.7502942642033,3.20529482605779,2.82621329359111,2.69220531866231,0.143655981593873,1.12199223392216,21.0097121375329,7048088,6.24282784210413
"Arizona",2018,0.938551927716427,4.9,45.6876163070187,5.27395275527245,45.6401303811101,3.28533653591148,2.82989318597901,2.72185642332991,0.145891504290483,1.16207915214312,21.3420482988537,7164228,8.5145252216987
"Arizona",2019,0.912663643471205,5,46.4785103025394,5.11409804078338,45.5059578216371,3.3658843175861,2.82388142476463,2.7776791134971,0.148700403999373,1.20423602098948,21.659092221267,7291843,4.79988392509274
"Arizona",2020,0.947779111895457,4.8,48.4287270804239,9.26829084854852,45.2627687991395,3.4515037236368,2.78595526454736,2.82364358602847,0.149847986258387,1.25307401465443,22.0571806767825,7179943,6.26745922634762
"Arizona",2021,0.952941116552971,6.4,48.3179137100325,7.76011761795829,45.0751747070184,3.51297069447976,2.76837446800545,2.87604318696655,0.151881442727798,1.29509419085829,22.4008197248212,7264877,5.09299744510471
"Arizona",2022,0.961789717003091,3.6,48.4030119046956,7.25213634041866,44.8199851152239,3.59486231989713,2.7615377058122,2.97112578994692,0.15541097758356,1.33880095885461,22.7661115744014,7359197,7.06598831367064
"Arkansas",2015,1.02727359373259,5.5,44.8419186691958,8.63654852181337,57.9544066379124,11.1475797152227,0.563137892938023,1.1422168168144,0.165484681172669,0.939010622431816,4.36525835209341,2979732,1.67800325666872
